"","coach","down","red_zone","distance","pass_prob","run_prob","fg_prob","punt_prob"
"1","League Average","1","TRUE","All","0.380406212664277","0.616487455197133","0.0031063321385902","0"
"2","League Average","1","FALSE","All","0.499012041904336","0.499496700592775","0.00149125750288931","0"
"3","League Average","2","TRUE","Short","0.335436893203883","0.662621359223301","0.00194174757281553","0"
"4","League Average","2","TRUE","Mid","0.512845370819195","0.483276781386331","0.00387784779447407","0"
"5","League Average","2","TRUE","Long","0.651206518332811","0.337511751801943","0.011281729865246","0"
"6","League Average","2","FALSE","Short","0.365905848787447","0.632489300998573","0.00160485021398003","0"
"7","League Average","2","FALSE","Mid","0.506609385327165","0.492068737607402","0.00132187706543291","0"
"8","League Average","2","FALSE","Long","0.687166839048453","0.310446336224043","0.00238682472750418","0"
"9","League Average","3","TRUE","Short","0.469904963041183","0.522175290390708","0.00791974656810982","0"
"10","League Average","3","TRUE","Mid","0.834293948126801","0.153458213256484","0.0122478386167147","0"
"11","League Average","3","TRUE","Long","0.852428393524284","0.13200498132005","0.0155666251556663","0"
"12","League Average","3","FALSE","Short","0.4928766292816","0.504698393452561","0.00242497726583813","0"
"13","League Average","3","FALSE","Mid","0.856947296372348","0.141170431211499","0.00188227241615332","0"
"14","League Average","3","FALSE","Long","0.866811861283297","0.128245937342939","0.00494220137376445","0"
"15","League Average","4","TRUE","Short","0.283962264150943","0.299056603773585","0.416981132075472","0"
"16","League Average","4","TRUE","Mid","0.130378096479791","0.0117340286831812","0.857887874837027","0"
"17","League Average","4","TRUE","Long","0.0672016048144433","0.00200601805416249","0.930792377131394","0"
"18","League Average","4","FALSE","Short","0.198028673835125","0.241636798088411","0.0982676224611709","0.462066905615293"
"19","League Average","4","FALSE","Mid","0.129493891797557","0.0178010471204188","0.182897033158813","0.669808027923211"
"20","League Average","4","FALSE","Long","0.0697899391929243","0.00690989496959646","0.165146489773355","0.758153676064124"
