team,rb_1,rb_2,wr_1,wr_2,wr_3,wr_4,te_1,te_2
ARI,0.088114754,0.055327869,0.254098361,0.153688525,0.075819672,0.043032787,0.276639344,0.053278689
ATL,0.13671875,0.041015625,0.271484375,0.1875,0.134765625,0.05078125,0.13671875,0.041015625
BAL,0.063926941,0.107305936,0.235159817,0.159817352,0.116438356,0.020547945,0.180365297,0.116438356
BUF,0.102908277,0.022371365,0.228187919,0.205816555,0.123042506,0.067114094,0.18344519,0.067114094
cAR,0.098039216,0.052941176,0.215686275,0.194117647,0.182352941,0.084313725,0.107843137,0.064705882
cHI,0.085487078,0.073558648,0.246520875,0.222664016,0.137176938,0.019880716,0.161033797,0.053677932
cIN,0.111913357,0.0433213,0.276173285,0.232851986,0.110108303,0.054151625,0.133574007,0.037906137
cLE,0.098671727,0.05313093,0.237191651,0.193548387,0.138519924,0.020872865,0.204933586,0.05313093
DAL,0.101145038,0.038167939,0.291984733,0.202290076,0.078244275,0.082061069,0.167938931,0.038167939
DEN,0.124223602,0.078674948,0.238095238,0.134575569,0.122153209,0.055900621,0.202898551,0.043478261
DET,0.12745098,0.084313725,0.27254902,0.188235294,0.07254902,0.041176471,0.188235294,0.025490196
GB,0.10042735,0.066239316,0.224358974,0.175213675,0.158119658,0.051282051,0.168803419,0.055555556
HOU,0.100603622,0.056338028,0.257545272,0.167002012,0.154929577,0.064386318,0.144869215,0.054325956
IND,0.085972851,0.020361991,0.244343891,0.212669683,0.124434389,0.115384615,0.169683258,0.027149321
JAX,0.097560976,0.04315197,0.251407129,0.206378987,0.118198874,0.097560976,0.142589118,0.04315197
Kc,0.085766423,0.052919708,0.195255474,0.204379562,0.162408759,0.045620438,0.173357664,0.080291971
LAc,0.097276265,0.042801556,0.241245136,0.151750973,0.142023346,0.128404669,0.108949416,0.087548638
LAR,0.086629002,0.020715631,0.271186441,0.237288136,0.128060264,0.084745763,0.129943503,0.041431262
LV,0.128971963,0.020560748,0.203738318,0.160747664,0.093457944,0.041121495,0.246728972,0.104672897
MIA,0.142857143,0.037105751,0.230055659,0.207792208,0.109461967,0.05380334,0.165120594,0.05380334
MIN,0.108058608,0.042124542,0.291208791,0.192307692,0.065934066,0.043956044,0.203296703,0.053113553
NE,0.089130435,0.1,0.202173913,0.158695652,0.152173913,0.054347826,0.167391304,0.076086957
NO,0.151051625,0.063097514,0.223709369,0.181644359,0.137667304,0.030592734,0.128107075,0.084130019
NYG,0.085657371,0.075697211,0.298804781,0.203187251,0.135458167,0.041832669,0.12749004,0.03187251
NYJ,0.133489461,0.042154567,0.297423888,0.154566745,0.110070258,0.086651054,0.142857143,0.032786885
PHI,0.127853881,0.025114155,0.287671233,0.244292237,0.073059361,0.029680365,0.171232877,0.04109589
PIT,0.078156313,0.134268537,0.246492986,0.122244489,0.088176353,0.076152305,0.178356713,0.076152305
SEA,0.119521912,0.085657371,0.239043825,0.217131474,0.085657371,0.051792829,0.131474104,0.069721116
SF,0.154158215,0.036511156,0.219066937,0.194726166,0.097363083,0.087221095,0.190669371,0.020283976
TB,0.117988395,0.085106383,0.218568665,0.170212766,0.141199226,0.106382979,0.13926499,0.021276596
TEN,0.117021277,0.104255319,0.244680851,0.140425532,0.093617021,0.078723404,0.163829787,0.057446809
WAS,0.132673267,0.065346535,0.231683168,0.178217822,0.108910891,0.075247525,0.132673267,0.075247525
